,PROJECT_CODE,FIELD_ID,FIELD_NAME,FIELD_POSITION,FIELD_LENGTH,FORM_ID,IS_SCROLLING,IS_ENABLED
0,KOF-FRE,DOCNUM,DOCNUM,1,8,1,0,1
,KOF-FRE,DOCTYPE,DOCTYPE,9,3,1,0,1
,KOF-FRE,DIQ,DIQ,12,1,1,0,1
,KOF-FRE,RDATE,RDATE,13,8,1,0,1
,KOF-FRE,DDATE,DDATE,21,8,1,0,1
,KOF-FRE,AMT,AMT,29,13,1,0,1
,KOF-FRE,REF,REF,42,15,1,0,1
,KOF-FRE,CASENO,CASENO,57,20,1,0,1
,KOF-FRE,COURT,COURT,77,20,1,0,1
,KOF-FRE,EDATEM,EDATEM,97,2,1,0,1
,KOF-FRE,EDATED,EDATED,99,2,1,0,1
,KOF-FRE,EDATEY,EDATEY,101,2,1,0,1
,KOF-FRE,EUSERID,EUSERID,103,3,1,0,1
,KOF-FRE,VDATEM,VDATEM,106,2,1,0,1
,KOF-FRE,VDATED,VDATED,108,2,1,0,1
,KOF-FRE,VDATEY,VDATEY,110,2,1,0,1
,KOF-FRE,VUSERID,VUSERID,112,3,1,0,1
,KOF-FRE,BNAME,BNAME,136,8,1,0,1
,KOF-FRE,DCOUNT,DCOUNT,144,3,1,0,1
,KOF-FRE,DCODE,DCODE,148,4,1,0,1
,KOF-FRE,DDESC1,DDESC1,152,60,1,0,1
,KOF-FRE,DDESC2,DDESC2,212,70,1,0,1
,KOF-FRE,PROP,PROP,282,1,1,0,1
,KOF-FRE,TOR2,TOR2,283,70,1,0,1
,KOF-FRE,TOR3,TOR3,353,70,1,0,1
,KOF-FRE,TOR1,TOR1,423,60,1,0,1
,KOF-FRE,TEE1,TEE1,483,60,1,0,1
,KOF-FRE,TEE2,TEE2,543,70,1,0,1
,KOF-FRE,TEE3,TEE3,613,70,1,0,1
,KOF-FRE,MAMT,MAMT,683,1,1,0,1
,KOF-FRE,MREF,MREF,684,1,1,0,1
,KOF-FRE,COMM1,COMM1,685,60,1,0,1
,KOF-FRE,COMM2,COMM2,745,70,1,0,1
,KOF-FRE,COMM3,COMM3,815,70,1,0,1
,KOF-FRE,COMM4,COMM4,885,70,1,0,1
,KOF-FRE,COMM5,COMM5,955,70,1,0,1
,KOF-FRE,TOR4,TOR4,1025,70,1,0,1
,KOF-FRE,TOR5,TOR5,1095,70,1,0,1
,KOF-FRE,TEE4,TEE4,1165,70,1,0,1
,KOF-FRE,TEE5,TEE5,1235,70,1,0,1
,KOF-FRE,DDESC1,DDESC1,1,60,2,0,1
,KOF-FRE,DCODE,DCODE,61,4,2,0,1
,KOF-FRE,DDESC2,DDESC2,65,70,2,0,1
,KOF-FRE,PROP,PROP,135,1,2,0,1
,KOF-FRE,TOR2,TOR2,136,70,2,0,1
,KOF-FRE,TOR3,TOR3,206,70,2,0,1
,KOF-FRE,TOR1,TOR1,276,60,2,0,1
,KOF-FRE,TEE1,TEE1,336,60,2,0,1
,KOF-FRE,TEE2,TEE2,396,70,2,0,1
,KOF-FRE,TEE3,TEE3,466,70,2,0,1
,KOF-FRE,MAMT,MAMT,536,1,2,0,1
,KOF-FRE,MREF,MREF,537,1,2,0,1
,KOF-FRE,COMM1,COMM1,538,60,2,0,1
,KOF-FRE,COMM2,COMM2,598,70,2,0,1
,KOF-FRE,COMM3,COMM3,668,70,2,0,1
,KOF-FRE,IMGFN,IMGFN,738,21,2,0,1
,KOF-FRE,COMM4,COMM4,759,70,2,0,1
,KOF-FRE,COMM5,COMM5,829,70,2,0,1
,KOF-FRE,TOR4,TOR4,899,70,2,0,1
,KOF-FRE,TOR5,TOR5,969,70,2,0,1
,KOF-FRE,TEE4,TEE4,1039,70,2,0,1
,KOF-FRE,TEE5,TEE5,1109,70,2,0,1
,KOF-FRE,NTYPEID,NTYPEID,1179,1,2,0,1
,KOF-FRE,AKEY,AKEY,1180,3,2,0,1
,KOF-FRE,LCODE,LCODE,1183,5,2,0,1
,KOF-FRE,GRANTOR,GRANTOR,1188,60,2,0,1
,KOF-FRE,DDESC1,DDESC1,1,60,3,0,1
,KOF-FRE,DCODE,DCODE,61,4,3,0,1
,KOF-FRE,DDESC2,DDESC2,65,70,3,0,1
,KOF-FRE,PROP,PROP,135,1,3,0,1
,KOF-FRE,TOR2,TOR2,136,70,3,0,1
,KOF-FRE,TOR3,TOR3,206,70,3,0,1
,KOF-FRE,TOR1,TOR1,276,60,3,0,1
,KOF-FRE,TEE1,TEE1,336,60,3,0,1
,KOF-FRE,TEE2,TEE2,396,70,3,0,1
,KOF-FRE,TEE3,TEE3,466,70,3,0,1
,KOF-FRE,MAMT,MAMT,536,1,3,0,1
,KOF-FRE,MREF,MREF,537,1,3,0,1
,KOF-FRE,COMM1,COMM1,538,60,3,0,1
,KOF-FRE,COMM2,COMM2,598,70,3,0,1
,KOF-FRE,COMM3,COMM3,668,70,3,0,1
,KOF-FRE,IMGFN,IMGFN,738,21,3,0,1
,KOF-FRE,COMM4,COMM4,759,70,3,0,1
,KOF-FRE,COMM5,COMM5,829,70,3,0,1
,KOF-FRE,TOR4,TOR4,899,70,3,0,1
,KOF-FRE,TOR5,TOR5,969,70,3,0,1
,KOF-FRE,TEE4,TEE4,1039,70,3,0,1
,KOF-FRE,TEE5,TEE5,1109,70,3,0,1
,KOF-FRE,NTYPEID,NTYPEID,1179,1,3,0,1
,KOF-FRE,AKEY,AKEY,1180,3,3,0,1
,KOF-FRE,LCODE,LCODE,1183,5,3,0,1
,KOF-FRE,GRANTEE,GRANTEE,1188,60,3,0,1
,KOF-FRE,IMGFN,IMGFN,1,21,4,0,1
,KOF-FRE,DCODE,DCODE,22,4,4,0,1
,KOF-FRE,PROP,PROP,26,1,4,0,1
,KOF-FRE,MAMT,MAMT,27,1,4,0,1
,KOF-FRE,MREF,MREF,28,1,4,0,1
,KOF-FRE,LLOT,LLOT,29,8,4,0,1
,KOF-FRE,HLOT,HLOT,37,8,4,0,1
,KOF-FRE,BLOCK,BLOCK,45,8,4,0,1
,KOF-FRE,SUBNAME,SUBNAME,53,35,4,0,1
,KOF-FRE,NF,NF,88,1,4,0,1
,KOF-FRE,IMGFN,IMGFN,1,21,5,0,1
,KOF-FRE,DCODE,DCODE,22,4,5,0,1
,KOF-FRE,PROP,PROP,26,1,5,0,1
,KOF-FRE,MAMT,MAMT,27,1,5,0,1
,KOF-FRE,MREF,MREF,28,1,5,0,1
,KOF-FRE,SNAME,SNAME,29,35,5,0,1
,KOF-FRE,ABSNUM,ABSNUM,64,5,5,0,1
,KOF-FRE,PART,PART,69,2,5,0,1
,KOF-FRE,ACRES,ACRES,71,15,5,0,1
,KOF-FRE,NF,NF,86,1,5,0,1
,KOF-FRE,IMGFN,IMGFN,1,21,6,0,1
,KOF-FRE,DCODE,DCODE,22,4,6,0,1
,KOF-FRE,PROP,PROP,26,1,6,0,1
,KOF-FRE,MAMT,MAMT,27,1,6,0,1
,KOF-FRE,MREF,MREF,28,1,6,0,1
,KOF-FRE,SECNUM,SECNUM,29,5,6,0,1
,KOF-FRE,BLOCK,BLOCK,34,8,6,0,1
,KOF-FRE,TSHIP,TSHIP,42,2,6,0,1
,KOF-FRE,DQ,DQ,44,30,6,0,1
,KOF-FRE,SNAME,SNAME,74,35,6,0,1
,KOF-FRE,ABSNUM,ABSNUM,109,5,6,0,1
,KOF-FRE,ACRES,ACRES,114,15,6,0,1
